Adult (15) literacy rate;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Ghana;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.89747287;-1;-1;-1;-1;-1;-1;-1;-1;-1;71.49707481;71.49707481
Gibraltar;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;80.0
Greece;-1;-1;-1;-1;-1;-1;90.51232372;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.61045144;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.99435923;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.3018
Grenada;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Guatemala;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;64.21164151;-1;-1;-1;-1;-1;-1;-1;69.10172764;-1;-1;-1;-1;-1;-1;-1;-1;75.85726
Guinea;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20.55374866;-1;-1;-1;-1;-1;-1;29.70401691;-1;-1;-1;-1;-1;-1;25.30774549;25.30774549
Guinea-Bissau;-1;-1;-1;-1;19.9582484;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41.3577676;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;55.27518
Guyana;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;84.99401128;-1;84.99401128
Haiti;-1;-1;-1;-1;-1;-1;-1;34.73469247;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;58.74390334;-1;-1;48.68502206;-1;-1;-1;-1;48.68502206
Holy See;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Honduras;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;80.01103176;-1;-1;-1;-1;-1;83.58899402;-1;-1;84.75536182;85.12331079
Hong Kong. China;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Hungary;-1;-1;-1;-1;-1;98.85828526;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.98274;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.02997;-1;-1;-1;-1;-1;-1;99.04719
Iceland;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
India;-1;-1;-1;-1;-1;-1;40.76359022;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.22207484;-1;-1;-1;-1;-1;-1;-1;-1;-1;61.01455637;-1;-1;-1;-1;62.75447457;-1;-1;-1;-1;62.75447457
Indonesia;-1;-1;-1;-1;-1;67.31267192;-1;-1;-1;-1;-1;-1;-1;-1;-1;81.51985243;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.38478936;-1;91.98227127;-1;92.19230071;92.58169512;-1;92.81190757
Iran;-1;36.51840027;-1;-1;-1;-1;-1;-1;-1;-1;-1;52.31975542;-1;-1;-1;-1;65.53140002;-1;-1;-1;-1;73.06025471;-1;-1;-1;-1;-1;77;-1;-1;82.44119663;82.33131752;-1;85.01876698;-1;-1;85.01876698
Iraq;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;74.05220113;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;78.48049
Ireland;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Israel;-1;-1;-1;-1;-1;-1;-1;-1;91.75140848;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.8
Italy;-1;-1;-1;-1;-1;-1;96.46054269;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.41662205;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.97965
Jamaica;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;79.9201233;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.04274
Japan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
